Category,Words,n
ChatGPT,review,2
ChatGPT,retrieval,2
ChatGPT,rigorous,2
ChatGPT,risk,2
ChatGPT,robust,2
ChatGPT,architecture,1
ChatGPT,cycle,1
ChatGPT,pateint,1
ChatGPT,operation,1
ChatGPT,principles,1
