Meals,Words,n
Dinner,vegan spaghetti plain and bolognese,3
Dinner,veggie burger,3
Dinner,wholegrain bun,3
Dinner,celery,2
Dinner,chickpeas plain sandwich salad roasted and others,2
Dinner,vegan mayo,2
Dinner,vegan shepherds pie,2
Dinner,zucchini roasted fresh and others,2
Dinner,bean sprouts,1
Dinner,coconut curry,1
Dinner,"dressing (lime, lemon)",1
Dinner,ketchup,1
Dinner,meatballs meatless vegan and others,1
Dinner,pasta wholewheat and others,1
Dinner,quinoa plain salad and others,1
Dinner,rice noodles,1
Dinner,tamarind sauce,1
Dinner,vegan gravy,1
Dinner,vegan jambalaya rice,1
Dinner,vegan kebabs,1
Dinner,vegan mozzarella,1
Dinner,vegan pad thai,1
Dinner,vegan sausage,1
Lunch,tomato sliced cherry and others,81
Lunch,olive oil,55
Lunch,cucumber diced and others,54
Lunch,carrots stirfry sticks and others,41
Lunch,juice carrot lemon orange etc,33
Lunch,vegetables crunchy skewered etc,28
Lunch,lentil plain soup and others,27
Lunch,avocado plain wrap toast and others,25
Lunch,onion red and others,22
Lunch,celery,21
Lunch,vegetable broth,21
Lunch,spinach,19
Lunch,mixed greens,18
Lunch,quinoa plain salad and others,18
Lunch,lettuce romaine and others,17
Lunch,wrap vegan whole grain falafel etc,17
Lunch,basil fresh and others,16
Lunch,chickpeas plain sandwich salad roasted and others,16
Lunch,peas snap and others,16
Lunch,tomato sauce,16
Lunch,vegan falafel salad,15
Lunch,pasta wholewheat and others,14
Lunch,tahini dressing lemon sauce and others,14
Lunch,hummus,13
Lunch,nutritional yeast,7
Lunch,red cabbage,7
Lunch,rice sushi jasmine brown etc,7
Lunch,bell pepper stuffed sauteed etc,6
Lunch,nori sheets,5
Lunch,vegan sushi rolls bowls and others,5
Lunch,tomato soup,4
Lunch,vegan cheese,4
Lunch,zucchini roasted fresh and others,4
Lunch,vinaigrette balsamic and others,3
Lunch,vinegar,3
Lunch,arugula,2
Lunch,bread wholewheat and others,2
Lunch,buddha,2
Lunch,edamame,2
Lunch,mushrooms stroganoff vegan etc,2
Lunch,soy sesame dressing plain sauce and others,2
Lunch,vegan pizza base and others,2
Lunch,vegan tomato and basil soup,2
Lunch,vegan tzatziki,2
Lunch,black beans plain salad and others,1
Lunch,bread notspecific,1
Lunch,broccoli stirfry and others,1
Lunch,cilantro,1
Lunch,dip not specific,1
Lunch,"dressing (lime, lemon)",1
Lunch,kale,1
Lunch,ketchup,1
Lunch,tamari sauce,1
Lunch,"vegan gyro
seitan",1
Lunch,vegan mayo,1
Lunch,veggie burger,1
Lunch,whole wheat pita,1
Lunch,wholegrain bread toast artisanal etc,1
Lunch,wholegrain bun,1
Snacks,carrots stirfry sticks and others,35
Snacks,orange slices and others,32
Snacks,banana sliced whole and others,29
Snacks,apples sliced baked and others,25
Snacks,hummus,22
Snacks,juice carrot lemon orange etc,21
Snacks,grapes,17
Snacks,vegan gelato,16
Snacks,yogurt dairyfree and vegan,16
Snacks,almond milk,15
Snacks,latte small medium and large,15
Snacks,rice cakes,15
Snacks,vegan protein shake,15
Snacks,Dark chocolate,14
Snacks,mango plain slices and salad,14
Snacks,vegan cheese,14
Snacks,vegan protein bar,12
Snacks,chocolate pudding,11
Snacks,pineapple fresh slices and others,9
Snacks,butter,8
Snacks,bread wholewheat and others,7
Snacks,vegan ice cream,7
Snacks,wholegrain bread toast artisanal etc,7
Snacks,mixednuts nutfree option,6
Snacks,peach slices diced and others,4
Snacks,kiwi plain slices and salad,2
Snacks,mixed berries,2
Snacks,avocado plain wrap toast and others,1
Snacks,corn,1
Snacks,cucumber diced and others,1
Snacks,dip not specific,1
Snacks,dried figs,1
Snacks,grapefruit,1
Snacks,pear,1
Snacks,popcorn,1
Snacks,pumpkin seeds,1
Snacks,raisins,1
Snacks,syrup agave maple and others,1
Snacks,vegan chocolate spread,1
Snacks,watermelon diced and others,1
