Meals,Words,n,tf,idf,tf_idf
Dinner,steamed asparagus,1,0.02777778,1.0986123,0.030517008
Dinner,steamed broccoli,1,0.02777778,1.0986123,0.030517008
Dinner,steamed fish,1,0.02777778,1.0986123,0.030517008
Dinner,steamed mixed,1,0.02777778,1.0986123,0.030517008
Dinner,steamed vegetables,1,0.02777778,1.0986123,0.030517008
Dinner,strawberry slices,1,0.02777778,1.0986123,0.030517008
Dinner,sweet potato,1,0.02777778,1.0986123,0.030517008
Dinner,tofu stir-fry,1,0.02777778,1.0986123,0.030517008
Dinner,white fish,1,0.02777778,1.0986123,0.030517008
Lunch,baby carrots,1,0.02173913,1.0986123,0.023882876
Lunch,carrot sticks,1,0.02173913,1.0986123,0.023882876
Lunch,chicken salad,1,0.02173913,1.0986123,0.023882876
Lunch,chopped bell,1,0.02173913,1.0986123,0.023882876
Lunch,cooked quinoa,1,0.02173913,1.0986123,0.023882876
Lunch,cucumber slices,1,0.02173913,1.0986123,0.023882876
Lunch,cucumber sticks,1,0.02173913,1.0986123,0.023882876
Lunch,diced tomatoes,1,0.02173913,1.0986123,0.023882876
Lunch,green(s) salad,1,0.02173913,1.0986123,0.023882876
Lunch,grilled vegetable(s),1,0.02173913,1.0986123,0.023882876
Lunch,hummus wrap,1,0.02173913,1.0986123,0.023882876
Lunch,low-fat dressing,1,0.02173913,1.0986123,0.023882876
Lunch,low-fat yogurt,1,0.02173913,1.0986123,0.023882876
Lunch,mixed green(s),1,0.02173913,1.0986123,0.023882876
Lunch,pita bread,1,0.02173913,1.0986123,0.023882876
Lunch,quinoa salad,1,0.02173913,1.0986123,0.023882876
Lunch,salad sandwich,1,0.02173913,1.0986123,0.023882876
Lunch,sliced turkey,1,0.02173913,1.0986123,0.023882876
Lunch,spinach leaves,1,0.02173913,1.0986123,0.023882876
Lunch,turkey breast,1,0.02173913,1.0986123,0.023882876
Lunch,turkey sandwich,1,0.02173913,1.0986123,0.023882876
Lunch,turkey wrap,1,0.02173913,1.0986123,0.023882876
Lunch,vegetable soup,1,0.02173913,1.0986123,0.023882876
Lunch,vegetable wrap,1,0.02173913,1.0986123,0.023882876
Lunch,wheat bread,1,0.02173913,1.0986123,0.023882876
Lunch,wheat crackers,1,0.02173913,1.0986123,0.023882876
Lunch,wheat pita,1,0.02173913,1.0986123,0.023882876
Lunch,wheat tortilla,1,0.02173913,1.0986123,0.023882876
Lunch,wheat wrap,1,0.02173913,1.0986123,0.023882876
Lunch,whole wheat,1,0.02173913,1.0986123,0.023882876
Breakfast,cottage cheese,1,0.03571429,0.4054651,0.014480897
Breakfast,grain bread,1,0.03571429,0.4054651,0.014480897
Breakfast,greek yogurt,1,0.03571429,0.4054651,0.014480897
Breakfast,low-fat cottage,1,0.03571429,0.4054651,0.014480897
Breakfast,whole grain,1,0.03571429,0.4054651,0.014480897
Dinner,balsamic vinegar,1,0.02777778,0.4054651,0.01126292
Dinner,bell peppers,1,0.02777778,0.4054651,0.01126292
Dinner,cherry tomatoes,1,0.02777778,0.4054651,0.01126292
Dinner,chicken breast,1,0.02777778,0.4054651,0.01126292
Dinner,green beans,1,0.02777778,0.4054651,0.01126292
Dinner,grilled chicken,1,0.02777778,0.4054651,0.01126292
Dinner,lemon juice,1,0.02777778,0.4054651,0.01126292
Dinner,side salad,1,0.02777778,0.4054651,0.01126292
Dinner,sliced cucumber,1,0.02777778,0.4054651,0.01126292
Dinner,small side,1,0.02777778,0.4054651,0.01126292
Dinner,steamed green,1,0.02777778,0.4054651,0.01126292
Lunch,balsamic vinegar,1,0.02173913,0.4054651,0.008814459
Lunch,bell peppers,1,0.02173913,0.4054651,0.008814459
Lunch,cherry tomatoes,1,0.02173913,0.4054651,0.008814459
Lunch,chicken breast,1,0.02173913,0.4054651,0.008814459
Lunch,cottage cheese,1,0.02173913,0.4054651,0.008814459
Lunch,grain bread,1,0.02173913,0.4054651,0.008814459
Lunch,greek yogurt,1,0.02173913,0.4054651,0.008814459
Lunch,green beans,1,0.02173913,0.4054651,0.008814459
Lunch,grilled chicken,1,0.02173913,0.4054651,0.008814459
Lunch,lemon juice,1,0.02173913,0.4054651,0.008814459
Lunch,low-fat cottage,1,0.02173913,0.4054651,0.008814459
Lunch,side salad,1,0.02173913,0.4054651,0.008814459
Lunch,sliced cucumber,1,0.02173913,0.4054651,0.008814459
Lunch,small side,1,0.02173913,0.4054651,0.008814459
Lunch,steamed green,1,0.02173913,0.4054651,0.008814459
Lunch,whole grain,1,0.02173913,0.4054651,0.008814459
